# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 23 19:49:13 2017
#
# CONSTRAINT:  where (pl_radj not null
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj
11,2MASS J02192210-3925225,b,Imaging,1,,156.000000,,,13.90000,Mass,1.440
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,,0.260000,46.200,20.95000,Mass,0.920
28,55 Cnc,e,Radial Velocity,5,0.73653900,0.015440,,83.300,0.02542,Mass,0.170
48,BD+20 594,b,Transit,1,41.68550000,0.241000,0.000000,89.550,0.05129,Mass,0.199
61,CT Cha,b,Imaging,1,,440.000000,,,17.00000,Mass,2.200
62,CoRoT-1,b,Transit,1,1.50895570,,0.000000,85.100,1.03000,Mass,1.490
63,CoRoT-10,b,Transit,1,13.24060000,0.105500,0.530000,88.550,2.75000,Mass,0.970
64,CoRoT-11,b,Transit,1,2.99433000,0.043600,0.000000,83.170,2.33000,Mass,1.430
65,CoRoT-12,b,Transit,1,2.82804200,0.040160,0.070000,85.480,0.91700,Mass,1.440
66,CoRoT-13,b,Transit,1,4.03519000,0.051000,0.000000,88.020,1.30800,Mass,0.885
67,CoRoT-14,b,Transit,1,1.51214000,0.027000,0.000000,79.600,7.60000,Mass,1.090
68,CoRoT-16,b,Transit,1,5.35227000,0.061800,0.330000,85.010,0.53500,Mass,1.170
69,CoRoT-17,b,Transit,1,3.76810000,0.046100,0.000000,88.340,2.43000,Mass,1.020
70,CoRoT-18,b,Transit,1,1.90006930,0.029500,0.080000,86.500,3.47000,Mass,1.310
71,CoRoT-19,b,Transit,1,3.89713000,0.051800,0.047000,88.000,1.11000,Mass,1.290
72,CoRoT-2,b,Transit,1,1.74299350,0.027980,0.014300,88.080,3.47000,Mass,1.466
73,CoRoT-20,b,Transit,1,9.24285000,0.090200,0.562000,88.210,4.24000,Mass,0.840
74,CoRoT-22,b,Transit,1,9.75598000,0.092000,0.077000,89.749,0.03800,Mass,0.435
75,CoRoT-23,b,Transit,1,3.63130000,0.048000,0.160000,85.700,2.80000,Mass,1.050
76,CoRoT-24,b,Transit,2,5.11340000,0.056000,0.000000,86.500,0.01800,Mass,0.330
77,CoRoT-24,c,Transit,2,11.75900000,0.098000,0.000000,89.000,0.08800,Mass,0.440
78,CoRoT-25,b,Transit,1,4.86069000,0.057800,0.000000,84.500,0.27000,Mass,1.080
79,CoRoT-26,b,Transit,1,4.20474000,0.052600,0.000000,86.800,0.52000,Mass,1.260
80,CoRoT-27,b,Transit,1,3.57532000,0.047600,0.065000,86.700,10.39000,Mass,1.007
81,CoRoT-28,b,Transit,1,5.20851000,0.060300,0.047000,88.100,0.48400,Mass,0.955
82,CoRoT-29,b,Transit,1,2.85057000,0.038600,0.082000,87.300,0.85000,Mass,0.900
83,CoRoT-3,b,Transit,1,4.25680000,,0.000000,85.900,21.66000,Mass,1.010
84,CoRoT-4,b,Transit,1,9.20205000,0.090000,0.000000,90.000,0.72000,Mass,1.190
85,CoRoT-5,b,Transit,1,4.03789620,0.049470,0.090000,85.830,0.46700,Mass,1.388
86,CoRoT-6,b,Transit,1,8.88659300,0.085500,0.100000,89.070,2.96000,Mass,1.166
